ComCd,EndDt,CashEqv,AccRec,OthRecIntrDivid,Inventories,OthCurrAss,TotCurrAss,TotalFixAss,IntangAss,TotNCurrAss,TotAss,AccPay,TotCurLia,TotNCurLia,TotLiab,PaidCap,CapResFund,RetainProf,TotShareEquit,TotLiabEquit,TotOpRev,OpRev,TotOpCost,RDExp,OpProf,TotProf,NetProf,NetProfContOper,BasicEPS,NetOpCashFl,NetInvCashFl,NetFinanCashFl,NetProf,FixAssDepr,DeferTaxDecr,InventDecr,BasicEPS,ROE,ROA,EBIT,Opeprfrt,Currt,Qckrt,CashRt,Netprfgrrt,Totassgrrt,ARTrat,Currat,Dbastrt,EqumulDP
C000810,2020/12/31,3338688547,3163673857,112763989.4,1238060542,79632402.07,8744122752,763482542,164452004.8,1506016616,10250139368,2135313051,4864485482,1077831251,5942316734,1063361320,518148458.4,2312588051,4307822634,10250139368,8507806781,8507806781,8257331075,509138959.1,366952301.2,364133693.2,354102471.7,354102471.7,0.37,2446407147,-192582612.5,-814102294.2,354102471.7,114418636.6,-31686466.61,32672839.83,0.37,9.131,3.4062,364960827.1,4.3131,1.7975,1.543,79.082,-42.0024,-2.8171,2.1945,0.9608,57.973,2.6107
C000810,2021/12/31,3444739086,3165007189,142205377.2,2156709532,80955934.73,9582737053,745386909.3,253858739.6,1614496526,11197233580,2664621016,5524811244,1113898961,6638710205,1063237105,521444631,2586397757,4558523375,11197233580,10846559580,10846559580,10382227245,556220532.7,401788862,405437866.8,414816519.5,414816519.5,0.4,189963544.9,-177042781.1,140610975.8,414816519.5,114789653.7,-56559467.38,-934023460.6,0.4,9.3181,3.8682,366623986.1,3.7043,1.7345,1.3441,71.0586,17.1459,9.2398,3.4277,1.1837,59.2888,2.4571
C000851,2019/12/31,560104746.1,4021030831,718152285.6,1265093847,202880953.3,7586539041,114773135.2,459369774.7,1744228714,9330767755,2132222258,5097707902,322539216.3,5420247119,907629867,1950638456,506255082.3,3910520636,9330767755,11409546498,11409546498,11535116419,66148343.98,21839374.6,33764760.56,20538898.48,20538898.48,0.03,-774319364.7,519330924.6,-950281040,20538898.48,21093621.39,-17591488.72,12361710.85,0.0262,0.6956,0.2273,156911073.2,0.1914,1.4882,1.2401,15.1801,-64.7345,6.9742,4.0439,1.6386,58.09,2.723
C000851,2020/12/31,1101230975,3871673993,242685799.5,1072173869,293452896.1,7490991261,189716115.7,483281891,2507685786,9998677047,1984583761,5825911747,483778496.3,6309690243,907629867,1933010813,356695485.5,3688986804,9998677047,7017755141,7017755141,7113367217,123480738.8,-190464197.2,-135946472.6,-139864256.2,-139864256.2,-0.14,-208320666.4,260145730.2,417304381.1,-139864256.2,22788612.03,-3224883.33,-369187100.1,-0.138,-3.8404,-1.4472,-32050407.11,-2.714,1.2858,1.1018,23.4324,-780.9725,7.1581,1.7946,0.9329,63.1053,2.9784
C000851,2021/12/31,1805672415,2864572821,200105843.5,1008588459,296455449.8,6863402421,221689684.6,432817504.7,2946232978,9809635400,835254786.8,4297649354,489659414.6,4787308769,1140032220,2940345485,372058268.5,5022326631,9809635400,8548463985,8548463985,8640660323,128199325.8,-14278614.53,40448929.16,35308087.82,35308087.82,0.01,195222587.3,-79924403.99,388821831,35308087.82,26891487.36,-7411518.77,56357062.84,0.0146,0.3423,0.3565,133818872.3,-0.167,1.597,1.3623,43.0516,125.2445,-1.9784,2.538,1.1911,48.8021,2.5894
C000882,2019/12/31,1226177612,194715824.9,22289911.14,829285571,749929082.1,4989014027,52270878.25,472576714.9,8956889254,13945903281,294327678.5,3437935229,2273884246,5711819475,2737351947,4676720300,392508940.7,8234083806,13945903281,1254140162,1254140162,1397319862,,65551931.3,57695996.98,39893788.29,39893788.29,0.02,221497563.7,1372248176,-1730613707,39893788.29,47714232.71,8650203.95,-13941446.23,0.0176,0.5945,0.2878,252207463.1,5.2268,1.4512,1.21,83.8313,37.7264,-0.2665,3.9697,0.2354,40.957,1.7331
C000882,2020/12/31,1081554536,20894661.09,32327755.43,780476729,28989009.82,2691748603,38877327.45,452661561.2,8576521035,11268269638,338555252.1,2220542426,1046358658,3266901084,2737351947,4653838038,401893507,8001368554,11268269638,889808086.4,889808086.4,1216267383,,38688354.69,27879360.8,14364572.67,1015210.91,0.01,343118125.7,2478595179,-2628638528,14364572.67,79730604.31,-1311852.71,444539.7,0.0084,0.2859,0.1139,184836715.8,4.3479,1.2122,0.8607,69.9012,-63.993,-19.2001,8.2538,0.2317,28.992,1.563
C000882,2021/12/31,1118194483,60471283.84,18330629.45,558580733.8,27752841.5,2504284866,29254745.45,432849378.7,10472638636,12976923502,311078008.3,1972063422,3865114765,5837178187,2737351947,4653838038,-441084048.7,7139745315,12976923502,1218069665,1218069665,1339634818,,22167478.84,-169381103.1,-177447293.6,-177447293.6,-0.06,751236270.4,281272456.9,-1028008338,-177447293.6,67982106.82,-5882728.98,209816662.1,-0.0646,-2.4852,-1.4638,88539194.01,1.8199,1.2699,0.9866,92.655,-1335.312,-4.8184,29.9405,0.484,44.9812,1.845
C002024,2019/12/31,33902215000,7194464000,1601848000,26780104000,7154210000,1.21E+11,17807820000,14694322000,1.16E+11,2.37E+11,44380475000,1.21E+11,28453251000,1.50E+11,9310040000,37249004000,41277886000,87144813000,2.37E+11,2.69E+11,2.69E+11,2.75E+11,3267610000,14671720000,14594597000,9319787000,-1746350000,1.07,-17864555000,-20871110000,26201239000,9319787000,1733607000,-1155051000,-3610463000,1.07,11.1951,4.272,15458793000,5.4495,0.9959,0.7751,41.674,-26.2824,18.7439,42.7022,2.1325,63.2075,2.5843
C002024,2020/12/31,25887751000,7696449000,1241863000,24251743000,5997641000,1.07E+11,18099415000,13882029000,1.05E+11,2.12E+11,31051572000,1.25E+11,10641670000,1.35E+11,9310040000,33228244000,36033899000,76831803000,2.12E+11,2.52E+11,2.52E+11,2.60E+11,2263933000,-6863808000,-6900641000,-5357866000,-5357866000,-0.46,-1621846000,4577270000,-9241068000,-5357866000,2009417000,-1513371000,4471340000,-0.46,-5.5619,-2.3869,-5325135000,-2.7205,0.8626,0.668,34.8984,-157.4891,-11.3589,33.8859,2.1886,63.7714,2.7431
C002024,2021/12/31,17967374000,5466713000,1446460000,12289891000,3245080000,75279333000,13327550000,9264229000,95458753000,1.71E+11,20135826000,1.10E+11,29435879000,1.40E+11,9310040000,33103448000,-7449817000,31028751000,1.71E+11,1.39E+11,1.39E+11,1.60E+11,1911560000,-51675034000,-52073411000,-44179361000,,-4.65,-6430227000,5296080000,-6099586000,-44179361000,1683306000,-4666738000,11229467000,-4.65,-134.7889,-23.0814,-48689257000,-37.2019,0.6827,0.5712,29.2611,-724.5701,-19.4917,21.105,1.52,81.8267,3.5135
